Title,Desc,Type,MuscleGroup,Equipment,Difficulty,Rating,RatingDesc,WeightFactor,Intensity
Hollow-hold ball toss,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.",Strength,Abductors,Body Only,Begineer,0,,1,Low
Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Adductors,Body Only,Begineer,8.2,Average,1,Low
Band standing concentration curl,"The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Biceps,Barbell,Begineer,,,1.1,Moderate
Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Begineer,9.3,Average,1.1,Moderate
Close-grip EZ-bar curl,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Begineer,8.9,Average,1.1,Moderate
Close-grip barbell curl,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Begineer,8.6,Average,1.1,Moderate
Pull-up - Gethin Variation,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.",Strength,Biceps,Cable,Begineer,,,1,Low
Lying cable biceps curl,"The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.",Strength,Biceps,Cable,Begineer,8.2,Average,1,Low
Seated cable biceps curl,The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps eliminate the use of momentum. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,Strength,Biceps,Dumbbell,Begineer,,,1.1,Moderate
Standing Dumbbell Reverse Curl,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated.",Strength,Biceps,Dumbbell,Begineer,8.1,Average,1.1,Moderate
Palms-out incline biceps curl,"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Dumbbell,Begineer,8,Average,1.1,Moderate
EZ-Bar Curl,"The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,Machine,Begineer,9.1,Average,1,Low
Smith machine drag curl,"The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in moderate to high reps, at least 8-15 reps per set, and can work in the biceps-focused portion of any workout.",Strength,Biceps,Machine,Begineer,,,1,Low
Standing barbell calf raise,"The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.",Strength,Calves,Barbell,Begineer,8.2,Average,1.1,Moderate
Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Begineer,9,Average,1,Low
Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Begineer,8.5,Average,1,Low
Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Strength,Chest,Barbell,Begineer,8.9,Average,1.1,Moderate
Pushups,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength,Chest,Body Only,Begineer,9.2,Average,1,Low
Incline Push-Up,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Strength,Chest,Body Only,Begineer,8.8,Average,1,Low
Diamond push-up,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",Strength,Chest,Body Only,Begineer,0,,1,Low
Lying cable chest fly,"The lying cable chest fly is an isolation movement that uses a cable stack and a flat bench to build bigger and stronger pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often as a pre-exhaust at the beginning of a workout or as a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Cable,Begineer,7.3,Average,1,Low
Bodyweight Flyes,"The double-bar roll-out chest fly is a chest exercise that utilizes two rotating barbells as ""handles"" for a chest fly. It targets the muscles of the chest, but is also an intense core workout. It's a tough movement that is usually performed in the chest-focused portion of a workout.",Strength,Chest,E-Z Curl Bar,Begineer,9,Average,1,Low
Kettlebell plyo push-up,"The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps or time, either for low reps to build explosive power or for higher reps for conditioning.",Strength,Chest,Kettlebells,Begineer,8,Average,1.2,High
Butterfly,"The machine chest fly is an exercise targeting the chest. The motion is often compared to bear-hugging a tree trunk. In chest workouts, this exercise often follows compound moves such as the bench press.",Strength,Chest,Machine,Begineer,8.5,Average,1,Low
Leverage Chest Press,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength,Chest,Machine,Begineer,8.5,Average,1,Low
Palms-down wrist curl over bench,"The palms-down wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Barbell,Begineer,9.5,Average,1.1,Moderate
Palms-up wrist curl over bench,"The palms-up wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Barbell,Begineer,9.4,Average,1.1,Moderate
Seated palms-down wrist curl,"The seated palms-down wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Dumbbell,Begineer,8.4,Average,1.1,Moderate
Glute bridge,"The glute bridge is a popular lower-body bodyweight exercise that primarily targets the glutes, but also activates the lower back and hamstrings. It can be performed with body weight alone, or with added resistance such as barbells, dumbbells, or bands. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime.",Strength,Glutes,Body Only,Begineer,8.8,Average,1,Low
Single-leg glute bridge,"The single-leg glute bridge is a lower-body exercise that targets the glutes, lower back, and hamstrings. It is performed one side at a time.",Strength,Glutes,Body Only,Begineer,8.8,Average,1,Low
Exercise ball hip thrust,"The exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. Proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. Unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. It can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime.",Strength,Glutes,Exercise Ball,Begineer,7.8,Average,1,Low
Natural Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Strength,Hamstrings,Body Only,Begineer,9.1,Average,1,Low
Lying cable leg curl,"The lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings. It's easy to learn, easy to master, and poses little in the way of injury risk. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training.",Strength,Hamstrings,Cable,Begineer,,,1,Low
Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,Begineer,9.4,Average,1.1,Moderate
Exercise ball leg curl,"The exercise ball leg curl is an exercise targeting the hamstrings. In particular, it targets the knee flexion function of the hamstrings, as opposed to deadlift variations, which target the other hamstring function, hip flexion. Many lifters opt for this exercise when they don't have access to a lying leg curl machine, but it is worth considering even if you already do machine curls.",Strength,Hamstrings,Exercise Ball,Begineer,8.8,Average,1,Low
Kettlebell pass-through lunge,"The kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. It is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. It is most commonly performed for higher reps, such as 10-15 reps per side, or for time. It can work in circuit-style workouts, or in lower-body or full-body time-efficient training.",Strength,Hamstrings,Kettlebells,Begineer,8.7,Average,1.1,Moderate
Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Hamstrings,Machine,Begineer,7,Average,1,Low
Band-assisted pull-up,"The band-assisted pull-up is a variation of the pull-up exercise in which the reps are performed with an elastic band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, and is often used as a way to help people boost their pull-up numbers or perform their first rep.",Strength,Lats,Bands,Begineer,7.6,Average,1,Low
Bent-arm barbell pull-over,"The bent-arm barbell pull-over was a staple exercise of the ""Golden Era"" of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise targets the pecs, lats, and serratus anterior muscles. Old-school bodybuilders would perform them with light weights for sets of 20 between sets of heavy 20-rep squats, but pull-overs are more popular today in moderate rep ranges, such as 8-12 reps per set, as part of an upper-body workout.",Strength,Lats,Barbell,Begineer,8,Average,1.1,Moderate
Pull-up,"The pull-up is a multijoint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of ""relative strength"" which is strength in relation to body weight.",Strength,Lats,Body Only,Begineer,8.9,Average,1,Low
Single-arm kneeling lat pull-down,"The single-arm kneeling lat pull-down is a variation of the lat pull-down exercise performed one arm at a time, with the knees on the ground, rather than sitting on a bench or machine. It has all of the same benefits of a lat pull-down performed on a bench or machine, in addition to providing further activation to the core and lower body.",Strength,Lats,Cable,Begineer,8.3,Average,1,Low
Elevated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Lats,Cable,Begineer,8.3,Average,1,Low
Machine seated row,"The machine seated row is a popular exercise targeting the back muscles, particularly the lats (latissimus dorsi), rhomboids, and middle and lower trapezius. There is a wide variety of seated row machines, but most of them approximate the motion of a free-weight row, but in an upright, forward-facing position. Machine row variations are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused portion of a workout.",Strength,Lats,Machine,Begineer,8.4,Average,1,Low
Machine-assisted pull-up,"The machine-assisted pull-up takes a classic back-building exercise and adds assistance to make the movement easier than the bodyweight version. The amount of assistance can easily be changed by moving the pin in the stack. While some people use this variation as a substitute for pull-ups or as an assistance exercise for pull-ups, it is also effective as a way to perform the pull-up motion in traditional muscle-building ranges. This variation is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or back-focused training.",Strength,Lats,Machine,Begineer,8.2,Average,1,Low
Superman,"The Superman is a bodyweight exercise that consists of isometric holds in an extended spine position. It targets the muscles of the posterior chain, including the muscles of the glutes, spinal erectors, and upper back. It can be performed as part of a dynamic warm-up, or for muscle activation or mobility anytime.",Strength,Lower Back,Body Only,Begineer,,,1.1,Low
Weighted back extension,"The weighted back extension is an exercise targeting the spinal erectors, as well as the glutes and hamstrings. Back extensions are often done for high reps without weight, but when done with weight, they can be an excellent accessory movement for deadlift strength as well as an overall posterior-chain strength builder. Because your back is the limiting factor, it's still an exercise that is usually done for moderate to high reps, such as 8-12 reps per set or higher. You can weight it with a plate or by holding a dumbbell or other weight in your hands.",Strength,Lower Back,Body Only,Begineer,,,1.1,Low
Exercise ball weighted hyperextension,"The exercise ball weighted hyperextension is an exercise that strengthens the lower back. If balance is an issue, have someone hold your feet.",Strength,Lower Back,Exercise Ball,Begineer,8.3,Average,1.1,Low
Kettlebell deadlift,"The kettlebell deadlift is a foundational movement in kettlebell training. It's often taught as a buildup or regression to the kettlebell swing, as well as to instruct the ""hip hinge"" motion in a more approachable manner than with a barbell.",Strength,Lower Back,Kettlebells,Begineer,,,1.2,Moderate
One-Arm Dumbbell Row,"The single-arm bench dumbbell row is a popular exercise for building the latissimus dorsi, or lat, muscles of the back. The bench is used for support during the rowing motion.",Strength,Middle Back,Dumbbell,Begineer,9,Average,1.2,Moderate
Kettlebell alternating renegade row,"The kettlebell alternating renegade row combines rowing and core training into a single difficult movement. It's popular in time-efficient strength and muscle-building workouts, as well as in circuit-style training.",Strength,Middle Back,Kettlebells,Begineer,8.5,Average,1.2,Moderate
Smith machine bent-over row,"The Smith machine bent-over row is an upper-body exercise targeting the muscles of the back, particularly the lats (latissimus dorsi). This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused workout.",Strength,Middle Back,Machine,Begineer,8.1,Average,1.1,Low
Leverage High Row,The machine high row is an exercise targeting the lats and works the back overall.,Strength,Middle Back,Machine,Begineer,7.9,Average,1.1,Low
Forward lunge,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout.",Strength,Quadriceps,Body Only,Begineer,9,Average,1,Low
Bodyweight squat,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",Strength,Quadriceps,Body Only,Begineer,8.8,Average,1,Low
Arms-crossed jump squat,"The arms-crossed jump squat is an explosive version of the jump squat. Crossing your arms eliminates any extra power that could come from swinging your arms, making the movement extra strict and challenging for the lower body. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",Strength,Quadriceps,Body Only,Begineer,8.4,Average,1.2,High
Bodyweight Reverse Lunge,"The reverse lunge is a lower-body exercise targeting the quads, glutes, and hamstrings. The reverse lunge places more emphasis on the glutes than other lunge variations.",Strength,Quadriceps,Body Only,Begineer,8.3,Average,1,Low
Bodyweight Walking Lunge,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout.",Strength,Quadriceps,Body Only,Begineer,8,Average,1,Low
Lateral lunge,"The lateral lunge is a lower-body bodyweight movement that works the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. It is often performed for reps as part of a dynamic warm-up or mobility routine but can also work in a circuit or other workouts.",Strength,Quadriceps,Body Only,Begineer,7.8,Average,1,Low
Hack squat-,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Begineer,,,1,Low
Seated cable shoulder press,"The seated cable shoulder press is a multijoint machine-based exercise that focuses on the deltoid or shoulder muscles, as well as the triceps. It's most common in muscle-building workouts and rep ranges, usually 8-12 reps or more.",Strength,Shoulders,Cable,Begineer,8.5,Average,1,Low
Standing face pull,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment.",Strength,Shoulders,Cable,Begineer,8.4,Average,1,Low
Bent-over shoulder rotation,"The bent-over shoulder rotation is an upper-body exercise that helps strengthen the muscles around the rotator cuff for a stable shoulder joint. It is usually performed as part of a dynamic warm-up for the shoulders. It can be performed with body weight, light dumbbells or weight plates, or bands.",Strength,Shoulders,Exercise Ball,Begineer,,,1,Low
Single-arm kettlebell push-press,"The single-arm kettlebell push-press is a popular kettlebell movement that involves performing a press with help from the muscles of the lower body. It is preceded by a clean at the start of each set, and optionally you can perform a clean between each rep. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.",Strength,Shoulders,Kettlebells,Begineer,9.3,Average,1.1,Moderate
Smith machine shoulder press,"The Smith machine shoulder press is a machine-based exercise targeting the deltoid muscles. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a shoulder or upper-body focused workout.",Strength,Shoulders,Machine,Begineer,8.9,Average,1,Low
Standing dumbbell shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It's often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Traps,Dumbbell,Begineer,8.7,Average,1.1,Moderate
Standing dumbbell upright row,"The standing dumbbell upright row is a popular movement for building stronger and bigger traps and shoulders. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. It is generally performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Traps,Dumbbell,Begineer,8.7,Average,1.1,Moderate
Smith machine behind-the-back shrug,"The Smith machine behind-the-back shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Strength,Traps,Machine,Begineer,7.8,Average,1,Low
Smith machine upright row,"The Smith machine upright row is an upper-body exercise targeting the muscles of the traps and shoulders. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or shoulder-focused workout.",Strength,Traps,Machine,Begineer,7.3,Average,1,Low
Band overhead triceps press,"The band overhead triceps press is a dynamic arm exercise utilizing a looped exercise band. It could also be performed with an exercise band with handles. It targets the triceps muscles and can be performed for time or reps, either in traditional muscle-building rep ranges such as 12-15 reps per set, or higher rep ranges such as 30, 50, or more.",Strength,Triceps,Bands,Begineer,0,,1,Low
Triceps dip,"The triceps dip is a bodyweight exercise performed on parallel bars or on a pull-up and dip station. It targets the triceps first, but also stretches and strengthens the chest and shoulders. Dips with a triceps focus are usually performed with an upright torso, the knees bent and crossed, and the arms close to the body. Dips can be performed for low reps for strength or higher reps for muscle growth.",Strength,Triceps,Body Only,Begineer,9.4,Average,1,Low
Cable V-bar push-down,"The cable V-bar push-down is a popular gym exercise for targeting the triceps. It utilizes an angled bar, which can allow you to move heavier weights more comfortably than a straight bar or rope. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an upper-body or arm-focused workout.",Strength,Triceps,Cable,Begineer,9.1,Average,1,Low
Machine Triceps Extension,The machine triceps extension is an isolation exercise targeting the tricep muscles.,Strength,Triceps,Machine,Begineer,7.4,Average,1,Low
Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Expert,,,1.4,High
FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Expert,,,1.4,High
Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Expert,8.3,Average,1.4,High
Hanging leg raise,"The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but Begineers may need time to build up to sets of 8-12 reps.",Strength,Abdominals,Body Only,Expert,8.9,Average,1.4,High
V-up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Expert,8.5,Average,1.4,High
Russian twist,"The Russian twist is an exercise targeting the abdominals and the obliques. Beginning from a position that resembles stopping midway through a sit-up, it involves twisting side to side. It can be performed with body weight alone or while holding a weight plate or other object. It is performed by alternating sides with each rep and can be done for time or for a specific number of reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Expert,8.4,Average,1.4,High
Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Expert,8.6,Average,1.4,High
Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Expert,,,1.4,High
Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Exercise Ball,Expert,,,1.4,High
Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Expert,8.4,Average,1.4,High
Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Expert,,,1.4,High
Traveling thigh killa,"The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",Strength,Abductors,Machine,Expert,,,1.4,High
Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Biceps,Bands,Expert,9,Average,1.4,High
Drag curl,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.",Strength,Biceps,Barbell,Expert,8.5,Average,1.4,High
EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Barbell,Expert,9.2,Average,1.4,High
Straight-arm plank with biceps curl,"The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge.",Strength,Biceps,Dumbbell,Expert,7.7,Average,1.4,High
Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Biceps,Dumbbell,Expert,9.1,Average,1.4,High
Decline barbell bench press,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Barbell,Expert,8.9,Average,1.4,High
